id,uuid_a,gene_name_a,ncbi_id_b,uuid_b,gene_name_b,protein_name_b,alt_id_b,detection_method,pmid,analytic_throughput,source,curater_comments,meeting_imex_criteria,high_stringency_interactor
3359,O15294,OGT,Homo sapiens (Human),Q6P1R4,DUS1L,tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like,refseq:NP_071439,pull down,32994395,High throughput,BioGRID,,,
3360,O15294,OGT,Homo sapiens (Human),P31323,PRKAR2B,cAMP-dependent protein kinase type II-beta regulatory subunit,refseq:NP_002727,pull down,32994395,High throughput,BioGRID,,,
3361,O15294,OGT,Homo sapiens (Human),P62888,RPL30,60S ribosomal protein L30,refseq:NP_000980,pull down,32994395,High throughput,BioGRID,,,
3362,O15294,OGT,Homo sapiens (Human),O43237,DYNC1LI2,Cytoplasmic dynein 1 light intermediate chain 2,refseq:NP_006132|refseq:NP_001273086|refseq:NP_001310884,pull down,32994395,High throughput,BioGRID,,,
3363,O15294,OGT,Homo sapiens (Human),P05026,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1,refseq:NP_001668,pull down,32994395,High throughput,BioGRID,,,
3364,O15294,OGT,Homo sapiens (Human),P14625,HSP90B1,Endoplasmin,refseq:NP_003290,pull down,32994395,High throughput,BioGRID,,,
3365,O15294,OGT,Homo sapiens (Human),P19544,WT1,Wilms tumor protein,refseq:NP_000369|refseq:NP_077744|refseq:NP_001185481|refseq:NP_001185480|refseq:NP_077742,pull down,32994395,High throughput,BioGRID,,,
3366,O15294,OGT,Homo sapiens (Human),P49411,TUFM,"Elongation factor Tu, mitochondrial",refseq:NP_003312|refseq:NP_001352289,pull down,32994395,High throughput,BioGRID,,,
3367,O15294,OGT,Homo sapiens (Human),P52594,AGFG1,Arf-GAP domain and FG repeat-containing protein 1,refseq:NP_004495|refseq:NP_001128660|refseq:NP_001128661|refseq:NP_001128659,pull down,32994395,High throughput,BioGRID,,,
3368,O15294,OGT,Homo sapiens (Human),Q12797,ASPH,Aspartyl/asparaginyl beta-hydroxylase,refseq:NP_064549|refseq:NP_001158228|refseq:NP_001158222|refseq:NP_001158223|refseq:NP_001158224|refseq:NP_001158225|refseq:NP_001158226|refseq:NP_001158227|refseq:NP_115856|refseq:NP_115857|refseq:NP_115855|refseq:NP_004309,pull down,32994395,High throughput,BioGRID,,,
3369,O15294,OGT,Homo sapiens (Human),Q13247,SRSF6,Serine/arginine-rich splicing factor 6,refseq:NP_006266,pull down,32994395,High throughput,BioGRID,,,
3370,O15294,OGT,Homo sapiens (Human),Q86X29,LSR,Lipolysis-stimulated lipoprotein receptor,refseq:NP_057009|refseq:NP_991403|refseq:NP_001247418|refseq:NP_001247419|refseq:NP_991404|refseq:NP_001372144,pull down,32994395,High throughput,BioGRID,,,
